"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Standard Error
	"Buncombe County, NC"	"37021"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Buncombe County, NC"	"37021"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Buncombe County, NC"	"37021"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Buncombe County, NC"	"37021"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Buncombe County, NC"	"37021"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Buncombe County, NC"	"37021"					231	1265324	18.26	1.20	19.00	1.27
	"Burke County, NC"	"37023"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2705	Suppressed	Suppressed	Suppressed	Suppressed
	"Burke County, NC"	"37023"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2853	Suppressed	Suppressed	Suppressed	Suppressed
	"Burke County, NC"	"37023"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	1077	Suppressed	Suppressed	Suppressed	Suppressed
	"Burke County, NC"	"37023"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	20164	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Burke County, NC"	"37023"	"Hispanic or Latino"	"2135-2"			Suppressed	26799	Suppressed	Suppressed	Suppressed	Suppressed
	"Burke County, NC"	"37023"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1237	Suppressed	Suppressed	Suppressed	Suppressed
	"Burke County, NC"	"37023"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	17556	Suppressed	Suppressed	Suppressed	Suppressed
	"Burke County, NC"	"37023"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	30083	Suppressed	Suppressed	Suppressed	Suppressed
	"Burke County, NC"	"37023"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	121	370639	32.65	2.97	33.01	3.13
"Total"	"Burke County, NC"	"37023"	"Not Hispanic or Latino"	"2186-2"			129	419515	30.75	2.71	31.50	2.88
	"Burke County, NC"	"37023"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Burke County, NC"	"37023"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Burke County, NC"	"37023"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Burke County, NC"	"37023"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Burke County, NC"	"37023"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Burke County, NC"	"37023"					130	446314	29.13	2.55	29.90	2.71
	"Cabarrus County, NC"	"37025"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	3911	Suppressed	Suppressed	Suppressed	Suppressed
	"Cabarrus County, NC"	"37025"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1772	Suppressed	Suppressed	Suppressed	Suppressed
	"Cabarrus County, NC"	"37025"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	9135	Suppressed	Suppressed	Suppressed	Suppressed
	"Cabarrus County, NC"	"37025"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	84510	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Cabarrus County, NC"	"37025"	"Hispanic or Latino"	"2135-2"			Suppressed	99328	Suppressed	Suppressed	Suppressed	Suppressed
	"Cabarrus County, NC"	"37025"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	3516	Suppressed	Suppressed	Suppressed	Suppressed
	"Cabarrus County, NC"	"37025"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	32853	Suppressed	Suppressed	Suppressed	Suppressed
	"Cabarrus County, NC"	"37025"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	18	169574	Unreliable	2.50	Unreliable	2.64
	"Cabarrus County, NC"	"37025"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	154	679282	22.67	1.83	23.71	1.94
"Total"	"Cabarrus County, NC"	"37025"	"Not Hispanic or Latino"	"2186-2"			172	885225	19.43	1.48	20.11	1.55
	"Cabarrus County, NC"	"37025"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cabarrus County, NC"	"37025"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cabarrus County, NC"	"37025"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cabarrus County, NC"	"37025"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Cabarrus County, NC"	"37025"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Cabarrus County, NC"	"37025"					175	984553	17.77	1.34	18.43	1.40
	"Caldwell County, NC"	"37027"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1557	Suppressed	Suppressed	Suppressed	Suppressed
	"Caldwell County, NC"	"37027"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	524	Suppressed	Suppressed	Suppressed	Suppressed
	"Caldwell County, NC"	"37027"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	1116	Suppressed	Suppressed	Suppressed	Suppressed
	"Caldwell County, NC"	"37027"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	17646	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Caldwell County, NC"	"37027"	"Hispanic or Latino"	"2135-2"			Suppressed	20843	Suppressed	Suppressed	Suppressed	Suppressed
	"Caldwell County, NC"	"37027"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	887	Suppressed	Suppressed	Suppressed	Suppressed
	"Caldwell County, NC"	"37027"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2852	Suppressed	Suppressed	Suppressed	Suppressed
	"Caldwell County, NC"	"37027"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	21308	Suppressed	Suppressed	Suppressed	Suppressed
	"Caldwell County, NC"	"37027"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	80	362301	22.08	2.47	21.88	2.55
"Total"	"Caldwell County, NC"	"37027"	"Not Hispanic or Latino"	"2186-2"			85	387348	21.94	2.38	21.79	2.46
	"Caldwell County, NC"	"37027"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Caldwell County, NC"	"37027"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Caldwell County, NC"	"37027"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Caldwell County, NC"	"37027"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Caldwell County, NC"	"37027"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Caldwell County, NC"	"37027"					88	408191	21.56	2.30	21.63	2.39
	"Camden County, NC"	"37029"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	53	Suppressed	Suppressed	Suppressed	Suppressed
	"Camden County, NC"	"37029"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	44	Suppressed	Suppressed	Suppressed	Suppressed
	"Camden County, NC"	"37029"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	188	Suppressed	Suppressed	Suppressed	Suppressed
	"Camden County, NC"	"37029"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	1151	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Camden County, NC"	"37029"	"Hispanic or Latino"	"2135-2"			Suppressed	1436	Suppressed	Suppressed	Suppressed	Suppressed
	"Camden County, NC"	"37029"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	208	Suppressed	Suppressed	Suppressed	Suppressed
	"Camden County, NC"	"37029"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1288	Suppressed	Suppressed	Suppressed	Suppressed
	"Camden County, NC"	"37029"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	6776	Suppressed	Suppressed	Suppressed	Suppressed
	"Camden County, NC"	"37029"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	Suppressed	42118	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Camden County, NC"	"37029"	"Not Hispanic or Latino"	"2186-2"			Suppressed	50390	Suppressed	Suppressed	Suppressed	Suppressed
	"Camden County, NC"	"37029"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Camden County, NC"	"37029"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Camden County, NC"	"37029"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Camden County, NC"	"37029"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Camden County, NC"	"37029"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Camden County, NC"	"37029"					Suppressed	51826	Suppressed	Suppressed	Suppressed	Suppressed
	"Carteret County, NC"	"37031"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	675	Suppressed	Suppressed	Suppressed	Suppressed
	"Carteret County, NC"	"37031"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	355	Suppressed	Suppressed	Suppressed	Suppressed
	"Carteret County, NC"	"37031"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	1106	Suppressed	Suppressed	Suppressed	Suppressed
	"Carteret County, NC"	"37031"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	12589	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Carteret County, NC"	"37031"	"Hispanic or Latino"	"2135-2"			Suppressed	14725	Suppressed	Suppressed	Suppressed	Suppressed
	"Carteret County, NC"	"37031"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1725	Suppressed	Suppressed	Suppressed	Suppressed
	"Carteret County, NC"	"37031"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	5033	Suppressed	Suppressed	Suppressed	Suppressed
	"Carteret County, NC"	"37031"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	21848	Suppressed	Suppressed	Suppressed	Suppressed
	"Carteret County, NC"	"37031"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	76	300564	25.29	2.90	29.28	3.52
"Total"	"Carteret County, NC"	"37031"	"Not Hispanic or Latino"	"2186-2"			76	329170	23.09	2.65	26.30	3.15
	"Carteret County, NC"	"37031"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Carteret County, NC"	"37031"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Carteret County, NC"	"37031"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Carteret County, NC"	"37031"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Carteret County, NC"	"37031"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Carteret County, NC"	"37031"					77	343895	22.39	2.55	25.25	2.99
	"Caswell County, NC"	"37033"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	351	Suppressed	Suppressed	Suppressed	Suppressed
	"Caswell County, NC"	"37033"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	30	Suppressed	Suppressed	Suppressed	Suppressed
	"Caswell County, NC"	"37033"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	417	Suppressed	Suppressed	Suppressed	Suppressed
	"Caswell County, NC"	"37033"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	3410	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Caswell County, NC"	"37033"	"Hispanic or Latino"	"2135-2"			Suppressed	4208	Suppressed	Suppressed	Suppressed	Suppressed
	"Caswell County, NC"	"37033"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	409	Suppressed	Suppressed	Suppressed	Suppressed
	"Caswell County, NC"	"37033"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	508	Suppressed	Suppressed	Suppressed	Suppressed
	"Caswell County, NC"	"37033"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	38518	Suppressed	Suppressed	Suppressed	Suppressed
	"Caswell County, NC"	"37033"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	12	71126	Unreliable	4.87	Unreliable	5.65
"Total"	"Caswell County, NC"	"37033"	"Not Hispanic or Latino"	"2186-2"			13	110561	Unreliable	3.26	Unreliable	3.83
	"Caswell County, NC"	"37033"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Caswell County, NC"	"37033"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Caswell County, NC"	"37033"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Caswell County, NC"	"37033"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Caswell County, NC"	"37033"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Caswell County, NC"	"37033"					13	114769	Unreliable	3.14	Unreliable	3.66
	"Catawba County, NC"	"37035"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2548	Suppressed	Suppressed	Suppressed	Suppressed
	"Catawba County, NC"	"37035"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1222	Suppressed	Suppressed	Suppressed	Suppressed
	"Catawba County, NC"	"37035"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	3273	Suppressed	Suppressed	Suppressed	Suppressed
	"Catawba County, NC"	"37035"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	64834	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Catawba County, NC"	"37035"	"Hispanic or Latino"	"2135-2"			Suppressed	71877	Suppressed	Suppressed	Suppressed	Suppressed
	"Catawba County, NC"	"37035"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1908	Suppressed	Suppressed	Suppressed	Suppressed
	"Catawba County, NC"	"37035"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	32829	Suppressed	Suppressed	Suppressed	Suppressed
	"Catawba County, NC"	"37035"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	70327	Suppressed	Suppressed	Suppressed	Suppressed
	"Catawba County, NC"	"37035"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	130	601892	21.60	1.89	22.54	2.05
"Total"	"Catawba County, NC"	"37035"	"Not Hispanic or Latino"	"2186-2"			136	706956	19.24	1.65	19.96	1.76
	"Catawba County, NC"	"37035"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Catawba County, NC"	"37035"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Catawba County, NC"	"37035"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Catawba County, NC"	"37035"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Catawba County, NC"	"37035"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Catawba County, NC"	"37035"					139	778833	17.85	1.51	18.47	1.60
	"Chatham County, NC"	"37037"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	3320	Suppressed	Suppressed	Suppressed	Suppressed
	"Chatham County, NC"	"37037"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	658	Suppressed	Suppressed	Suppressed	Suppressed
	"Chatham County, NC"	"37037"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	2387	Suppressed	Suppressed	Suppressed	Suppressed
	"Chatham County, NC"	"37037"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	37369	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Chatham County, NC"	"37037"	"Hispanic or Latino"	"2135-2"			Suppressed	43734	Suppressed	Suppressed	Suppressed	Suppressed
	"Chatham County, NC"	"37037"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1081	Suppressed	Suppressed	Suppressed	Suppressed
	"Chatham County, NC"	"37037"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	6601	Suppressed	Suppressed	Suppressed	Suppressed
	"Chatham County, NC"	"37037"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	44938	Suppressed	Suppressed	Suppressed	Suppressed
	"Chatham County, NC"	"37037"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	18	253804	Unreliable	1.67	Unreliable	2.33
"Total"	"Chatham County, NC"	"37037"	"Not Hispanic or Latino"	"2186-2"			21	306424	6.85	1.50	8.23	1.93
	"Chatham County, NC"	"37037"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Chatham County, NC"	"37037"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Chatham County, NC"	"37037"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Chatham County, NC"	"37037"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Chatham County, NC"	"37037"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Chatham County, NC"	"37037"					22	350158	6.28	1.34	7.03	1.59
